week,SST,day,month,year
1,26.86617647,31,12,1989
2,26.50494118,1,7,1990
3,26.27614706,14,1,1990
4,26.46758824,21,1,1990
5,26.686,28,1,1990
6,26.63226471,2,4,1990
7,26.92944118,2,11,1990
8,27.13685294,18,2,1990
9,27.43014706,25,2,1990
10,27.55785294,3,4,1990
11,27.84508824,3,11,1990
12,28.49041176,18,3,1990
13,28.40161765,25,3,1990
14,28.55170588,4,1,1990
15,28.80776471,4,8,1990
16,28.89905882,15,4,1990
17,29.21220588,22,4,1990
18,29.58988235,29,4,1990
19,29.98435294,5,6,1990
20,29.79032353,13,5,1990
21,29.72541176,20,5,1990
22,29.74652941,27,5,1990
23,29.64188235,6,3,1990
24,29.43217647,6,10,1990
25,29.37117647,17,6,1990
26,29.17664706,24,6,1990
27,28.95905882,7,1,1990
28,28.63679412,7,8,1990
29,28.72797059,15,7,1990
30,28.76155882,22,7,1990
31,28.47544118,29,7,1990
32,28.63241176,8,5,1990
33,28.59232353,8,12,1990
34,28.25732353,19,8,1990
35,28.57632353,26,8,1990
36,28.65020588,9,2,1990
37,28.78985294,9,9,1990
38,28.89023529,16,9,1990
39,28.97035294,23,9,1990
40,28.87661765,30,9,1990
41,28.8875,10,7,1990
42,29.02411765,14,10,1990
43,28.91014706,21,10,1990
44,28.61176471,28,10,1990
45,27.97914706,11,4,1990
46,28.43402941,11,11,1990
47,28.43782353,18,11,1990
48,28.10988235,25,11,1990
49,27.67176471,12,2,1990
50,27.49338235,12,9,1990
51,27.03708824,16,12,1990
52,26.89629412,23,12,1990
53,26.95123529,30,12,1990
54,26.55017647,1,6,1991
55,26.59097059,13,1,1991
56,26.58188235,20,1,1991
57,26.60847059,27,1,1991
58,27.00314706,2,3,1991
59,26.98941176,2,10,1991
60,27.08664706,17,2,1991
61,27.37438235,24,2,1991
62,27.79638235,3,3,1991
63,28.062,3,10,1991
64,28.35744118,17,3,1991
65,28.97658824,24,3,1991
66,28.93576471,31,3,1991
67,29.27488235,4,7,1991
68,29.58747059,14,4,1991
69,29.91911765,21,4,1991
70,28.95832353,28,4,1991
71,29.30955882,5,5,1991
72,29.91182353,5,12,1991
73,30.12158824,19,5,1991
74,30.45617647,26,5,1991
75,29.83902941,6,2,1991
76,29.88494118,6,9,1991
77,29.32979412,16,6,1991
78,29.42382353,23,6,1991
79,29.48479412,30,6,1991
80,29.32038235,7,7,1991
81,29.02770588,14,7,1991
82,29.21788235,21,7,1991
83,28.85782353,28,7,1991
84,29.34147059,8,4,1991
85,29.07326471,8,11,1991
86,28.84476471,18,8,1991
87,28.79255882,25,8,1991
88,29.13744118,9,1,1991
89,29.49452941,9,8,1991
90,29.16105882,15,9,1991
91,28.86702941,22,9,1991
92,29.24926471,29,9,1991
93,29.24497059,10,6,1991
94,28.81817647,13,10,1991
95,29.02808824,20,10,1991
96,28.79376471,27,10,1991
97,28.62326471,11,3,1991
98,28.35070588,11,10,1991
99,27.83885294,17,11,1991
100,27.13376471,24,11,1991
101,26.96002941,12,1,1991
102,26.74158824,12,8,1991
103,26.74020588,15,12,1991
104,26.55591176,22,12,1991
105,26.68817647,29,12,1991
106,26.19358824,1,5,1992
107,26.19129412,1,12,1992
108,26.34270588,19,1,1992
109,26.26097059,26,1,1992
110,26.26461765,2,2,1992
111,26.57158824,2,9,1992
112,26.68432353,16,2,1992
113,26.773,23,2,1992
114,27.10397059,3,1,1992
115,27.45220588,3,8,1992
116,27.976,15,3,1992
117,28.08558824,22,3,1992
118,28.03582353,29,3,1992
119,28.57888235,4,5,1992
120,28.84252941,4,12,1992
121,29.03111765,19,4,1992
122,29.57514706,26,4,1992
123,29.80597059,5,3,1992
124,29.89405882,5,10,1992
125,29.48276471,17,5,1992
126,29.533,24,5,1992
127,29.64491176,31,5,1992
128,30.13255882,6,7,1992
129,29.75273529,14,6,1992
130,29.53941176,21,6,1992
131,29.32576471,28,6,1992
132,29.28067647,7,5,1992
133,29.06055882,7,12,1992
134,28.81373529,19,7,1992
135,28.62611765,26,7,1992
136,28.46373529,8,2,1992
137,28.24108824,8,9,1992
138,28.71194118,16,8,1992
139,28.81517647,23,8,1992
140,28.59170588,30,8,1992
141,28.63455882,9,6,1992
142,28.61264706,13,9,1992
143,28.88652941,20,9,1992
144,29.17285294,27,9,1992
145,29.24935294,10,4,1992
146,29.10897059,10,11,1992
147,28.42258824,18,10,1992
148,28.34282353,25,10,1992
149,28.17964706,11,1,1992
150,27.96144118,11,8,1992
151,27.82352941,15,11,1992
152,27.62423529,22,11,1992
153,27.14564706,29,11,1992
154,26.94958824,12,6,1992
155,26.64029412,13,12,1992
156,26.6955,20,12,1992
157,26.46526471,27,12,1992
158,26.08685294,1,3,1993
159,26.32497059,1,10,1993
160,26.45635294,17,1,1993
161,26.22670588,24,1,1993
162,25.97341176,31,1,1993
163,26.25608824,2,7,1993
164,26.34617647,14,2,1993
165,26.25638235,21,2,1993
166,26.641,28,2,1993
167,27.14891176,3,7,1993
168,27.52514706,14,3,1993
169,27.85105882,21,3,1993
170,28.38247059,28,3,1993
171,28.77385294,4,4,1993
172,28.41517647,4,11,1993
173,29.19794118,18,4,1993
174,29.46588235,25,4,1993
175,29.46052941,5,2,1993
176,30.31632353,5,9,1993
177,30.00105882,16,5,1993
178,30.03494118,23,5,1993
179,29.92770588,30,5,1993
180,30.03923529,6,6,1993
181,29.51758824,13,6,1993
182,29.16758824,20,6,1993
183,29.25497059,27,6,1993
184,29.25485294,7,4,1993
185,28.88435294,7,11,1993
186,28.93326471,18,7,1993
187,28.83658824,25,7,1993
188,28.73126471,8,1,1993
189,28.70255882,8,8,1993
190,28.41161765,15,8,1993
191,28.49541176,22,8,1993
192,28.80514706,29,8,1993
193,28.79876471,9,5,1993
194,28.69373529,9,12,1993
195,28.67861765,19,9,1993
196,28.96747059,26,9,1993
197,29.07441176,10,3,1993
198,28.78626471,10,10,1993
199,28.89679412,17,10,1993
200,28.89520588,24,10,1993
201,28.65994118,31,10,1993
202,28.27429412,11,7,1993
203,28.13558824,14,11,1993
204,28.09055882,21,11,1993
205,27.67776471,28,11,1993
206,28.01332353,12,5,1993
207,27.11197059,12,12,1993
208,27.00382353,19,12,1993
209,26.47067647,26,12,1993
210,26.71008824,1,2,1994
211,26.77055882,1,9,1994
212,26.68479412,16,1,1994
213,26.46347059,23,1,1994
214,26.57520588,30,1,1994
215,26.97426471,2,6,1994
216,26.85532353,13,2,1994
217,26.93602941,20,2,1994
218,27.20076471,27,2,1994
219,27.15805882,3,6,1994
220,27.4655,13,3,1994
221,27.73355882,20,3,1994
222,27.91991176,27,3,1994
223,28.55770588,4,3,1994
224,28.97705882,4,10,1994
225,29.22247059,17,4,1994
226,29.35488235,24,4,1994
227,29.30285294,5,1,1994
228,29.37382353,5,8,1994
229,29.40097059,15,5,1994
230,29.78167647,22,5,1994
231,29.58814706,29,5,1994
232,29.21594118,6,5,1994
233,29.29664706,6,12,1994
234,28.99814706,19,6,1994
235,28.88317647,26,6,1994
236,28.80788235,7,3,1994
237,28.78647059,7,10,1994
238,28.39441176,17,7,1994
239,28.18205882,24,7,1994
240,28.43158824,31,7,1994
241,28.43164706,8,7,1994
242,28.46282353,14,8,1994
243,28.31735294,21,8,1994
244,28.33647059,28,8,1994
245,27.97067647,9,4,1994
246,28.01976471,9,11,1994
247,28.50108824,18,9,1994
248,29.06167647,25,9,1994
249,29.13897059,10,2,1994
250,29.07076471,10,9,1994
251,28.88355882,16,10,1994
252,28.73594118,23,10,1994
253,28.56832353,30,10,1994
254,28.02864706,11,6,1994
255,27.97505882,13,11,1994
256,27.93588235,20,11,1994
257,27.54841176,27,11,1994
258,27.16279412,12,4,1994
259,27.00761765,12,11,1994
260,26.73444118,18,12,1994
261,26.51905882,25,12,1994
262,26.24335294,1,1,1995
263,26.18638235,1,8,1995
264,26.23497059,15,1,1995
265,26.38102941,22,1,1995
266,26.53073529,29,1,1995
267,26.25020588,2,5,1995
268,26.65491176,2,12,1995
269,27.10376471,19,2,1995
270,27.11635294,26,2,1995
271,27.41282353,3,5,1995
272,27.75635294,3,12,1995
273,28.17444118,19,3,1995
274,28.55358824,26,3,1995
275,28.83741176,4,2,1995
276,29.41261765,4,9,1995
277,29.53314706,16,4,1995
278,29.83802941,23,4,1995
279,29.87264706,30,4,1995
280,29.56194118,5,7,1995
281,29.03120588,14,5,1995
282,29.18417647,21,5,1995
283,29.27597059,28,5,1995
284,29.20670588,6,4,1995
285,29.52023529,6,11,1995
286,29.38132353,18,6,1995
287,29.15179412,25,6,1995
288,29.2255,7,2,1995
289,29.11276471,7,9,1995
290,28.96326471,16,7,1995
291,28.74452941,23,7,1995
292,28.65567647,30,7,1995
293,28.63711765,8,6,1995
294,28.52361765,13,8,1995
295,28.67279412,20,8,1995
296,28.80938235,27,8,1995
297,28.70697059,9,3,1995
298,28.96479412,9,10,1995
299,28.61061765,17,9,1995
300,28.66976471,24,9,1995
301,28.91070588,10,1,1995
302,28.87038235,10,8,1995
303,28.92226471,15,10,1995
304,28.83744118,22,10,1995
305,28.92438235,29,10,1995
306,28.62388235,11,5,1995
307,28.48394118,11,12,1995
308,28.01094118,19,11,1995
309,27.72547059,26,11,1995
310,27.38479412,12,3,1995
311,27.01388235,12,10,1995
312,26.83073529,17,12,1995
313,26.55614706,24,12,1995
314,26.11108824,31,12,1995
315,26.25188235,1,7,1996
316,26.2975,14,1,1996
317,26.21961765,21,1,1996
318,26.13447059,28,1,1996
319,26.06111765,2,4,1996
320,25.86764706,2,11,1996
321,26.38579412,18,2,1996
322,26.77979412,25,2,1996
323,26.94544118,3,3,1996
324,27.74405882,3,10,1996
325,28.13544118,17,3,1996
326,28.49961765,24,3,1996
327,28.66705882,31,3,1996
328,29.27164706,4,7,1996
329,29.53941176,14,4,1996
330,29.50861765,21,4,1996
331,29.58914706,28,4,1996
332,29.21661765,5,5,1996
333,29.38870588,5,12,1996
334,29.64208824,19,5,1996
335,29.61135294,26,5,1996
336,29.67647059,6,2,1996
337,29.70532353,6,9,1996
338,29.32679412,16,6,1996
339,29.187,23,6,1996
340,29.01697059,30,6,1996
341,29.09570588,7,7,1996
342,28.92541176,14,7,1996
343,28.96120588,21,7,1996
344,28.65129412,28,7,1996
345,28.50520588,8,4,1996
346,28.56885294,8,11,1996
347,28.57797059,18,8,1996
348,28.52764706,25,8,1996
349,28.45367647,9,1,1996
350,28.71714706,9,8,1996
351,28.47647059,15,9,1996
352,28.57526471,22,9,1996
353,28.52458824,29,9,1996
354,28.61223529,10,6,1996
355,28.91347059,13,10,1996
356,28.84852941,20,10,1996
357,28.52361765,27,10,1996
358,28.08455882,11,3,1996
359,28.14602941,11,10,1996
360,27.90814706,17,11,1996
361,27.43691176,24,11,1996
362,27.38520588,12,1,1996
363,26.54891176,12,8,1996
364,27.06241176,15,12,1996
365,27.18182353,22,12,1996
366,25.91755882,29,12,1996
367,25.98673529,1,5,1997
368,26.16541176,1,12,1997
369,26.47402941,19,1,1997
370,26.44938235,26,1,1997
371,26.21197059,2,2,1997
372,26.03491176,2,9,1997
373,26.09905882,16,2,1997
374,26.38635294,23,2,1997
375,27.06632353,3,2,1997
376,27.88844118,3,9,1997
377,27.87717647,16,3,1997
378,28.21,23,3,1997
379,28.46132353,30,3,1997
380,28.54064706,4,6,1997
381,28.98373529,13,4,1997
382,29.21920588,20,4,1997
383,29.37170588,27,4,1997
384,29.78326471,5,4,1997
385,29.84382353,5,11,1997
386,28.98214706,18,5,1997
387,29.04655882,25,5,1997
388,29.42052941,6,1,1997
389,29.45488235,6,8,1997
390,29.49467647,15,6,1997
391,29.44938235,22,6,1997
392,29.25952941,29,6,1997
393,28.98923529,7,6,1997
394,28.86958824,13,7,1997
395,28.84597059,20,7,1997
396,28.63479412,27,7,1997
397,28.33320588,8,3,1997
398,28.63026471,8,10,1997
399,28.58611765,17,8,1997
400,28.7375,24,8,1997
401,28.77870588,31,8,1997
402,29.09876471,9,7,1997
403,29.34494118,14,9,1997
404,29.275,21,9,1997
405,29.11444118,28,9,1997
406,29.14891176,10,5,1997
407,29.43008824,10,12,1997
408,29.52164706,19,10,1997
409,29.50388235,26,10,1997
410,28.83638235,11,2,1997
411,28.95264706,11,9,1997
412,28.54161765,16,11,1997
413,28.53044118,23,11,1997
414,28.27105882,30,11,1997
415,28.10497059,12,7,1997
416,27.47905882,14,12,1997
417,27.20758824,21,12,1997
418,26.79817647,28,12,1997
419,26.57964706,1,4,1998
420,26.69455882,1,11,1998
421,26.61182353,18,1,1998
422,26.80858824,25,1,1998
423,26.80461765,2,1,1998
424,26.8645,2,8,1998
425,27.16323529,15,2,1998
426,27.39988235,22,2,1998
427,27.59732353,3,1,1998
428,27.77679412,3,8,1998
429,28.25505882,15,3,1998
430,28.47226471,22,3,1998
431,28.77882353,29,3,1998
432,29.31338235,4,5,1998
433,29.41967647,4,12,1998
434,29.66317647,19,4,1998
435,29.99258824,26,4,1998
436,30.52655882,5,3,1998
437,30.60138235,5,10,1998
438,30.48170588,17,5,1998
439,30.44491176,24,5,1998
440,30.45679412,31,5,1998
441,30.39358824,6,7,1998
442,30.11170588,14,6,1998
443,30.00852941,21,6,1998
444,29.83197059,28,6,1998
445,29.53197059,7,5,1998
446,29.67335294,7,12,1998
447,29.62820588,19,7,1998
448,29.58294118,26,7,1998
449,29.48529412,8,2,1998
450,29.41241176,8,9,1998
451,29.37644118,16,8,1998
452,29.18885294,23,8,1998
453,29.23870588,30,8,1998
454,28.87926471,9,6,1998
455,29.13402941,13,9,1998
456,29.36123529,20,9,1998
457,29.61238235,27,9,1998
458,29.748,10,4,1998
459,29.39847059,10,11,1998
460,29.40182353,18,10,1998
461,29.48802941,25,10,1998
462,29.30620588,11,1,1998
463,28.95291176,11,8,1998
464,28.89255882,15,11,1998
465,28.57252941,22,11,1998
466,28.7205,29,11,1998
467,27.94702941,12,6,1998
468,27.71702941,13,12,1998
469,27.51052941,20,12,1998
470,27.31514706,27,12,1998
471,26.83241176,1,3,1999
472,27.03552941,1,10,1999
473,26.90485294,17,1,1999
474,26.75852941,24,1,1999
475,26.95808824,31,1,1999
476,26.91258824,2,7,1999
477,26.95644118,14,2,1999
478,27.48373529,21,2,1999
479,27.76517647,28,2,1999
480,27.83679412,3,7,1999
481,28.17,14,3,1999
482,28.70105882,21,3,1999
483,28.84458824,28,3,1999
484,28.98808824,4,4,1999
485,29.46588235,4,11,1999
486,29.7325,18,4,1999
487,29.42097059,25,4,1999
488,29.59105882,5,2,1999
489,29.50758824,5,9,1999
490,29.50244118,16,5,1999
491,29.15638235,23,5,1999
492,29.04979412,30,5,1999
493,29.1225,6,6,1999
494,28.86267647,13,6,1999
495,28.69629412,20,6,1999
496,28.76373529,27,6,1999
497,28.80373529,7,4,1999
498,28.81652941,7,11,1999
499,28.67558824,18,7,1999
500,28.50844118,25,7,1999
501,28.44923529,8,1,1999
502,28.41167647,8,8,1999
503,28.54117647,15,8,1999
504,28.62564706,22,8,1999
505,28.498,29,8,1999
506,28.38432353,9,5,1999
507,28.43105882,9,12,1999
508,28.429,19,9,1999
509,28.97623529,26,9,1999
510,29.07135294,10,3,1999
511,28.81070588,10,10,1999
512,28.71167647,17,10,1999
513,28.85273529,24,10,1999
514,28.56341176,31,10,1999
515,28.36955882,11,7,1999
516,28.22344118,14,11,1999
517,27.87729412,21,11,1999
518,27.63779412,28,11,1999
519,27.40697059,12,5,1999
520,26.97573529,12,12,1999
521,26.68567647,19,12,1999
522,26.45523529,26,12,1999
523,26.09467647,1,2,2000
524,26.35614706,1,9,2000
525,26.41467647,16,1,2000
526,26.61414706,23,1,2000
527,26.57532353,30,1,2000
528,26.50970588,2,6,2000
529,26.61394118,13,2,2000
530,26.99232353,20,2,2000
531,27.22914706,27,2,2000
532,27.47047059,3,5,2000
533,27.61426471,3,12,2000
534,28.11691176,19,3,2000
535,28.15779412,26,3,2000
536,28.41708824,4,2,2000
537,28.76455882,4,9,2000
538,29.15955882,16,4,2000
539,29.39891176,23,4,2000
540,29.44232353,30,4,2000
541,29.77020588,5,7,2000
542,29.70344118,14,5,2000
543,29.53652941,21,5,2000
544,29.40555882,28,5,2000
545,29.15814706,6,4,2000
546,29.22952941,6,11,2000
547,29.12779412,18,6,2000
548,29.18058824,25,6,2000
549,29.13873529,7,2,2000
